country_of_citizenship,continent,region,number_of_active_students,male,female,associate,bachelors,doctorate,flight_training,high_school,language_training,masters,other,other_vocational_school,primary,secondary,ak,al,ar,az,ca,co,ct,dc,de,fl,ga,gu,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,mp,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vi,vt,wa,wi,wv,wy,month_year,date,active_students,flight_school
FAROE ISLANDS,Europe,Northern Europe,4,2,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,april-2014,2014-04-01,NA,NA
FIJI,Australia & Pacific Islands,Melanesia,79,42,37,26,28,7,0,0,0,14,1,2,0,1,0,0,1,2,21,0,1,1,0,1,2,1,5,5,0,0,0,0,0,0,3,1,0,0,0,2,0,1,0,0,0,0,1,1,6,0,5,1,3,1,0,0,0,1,0,1,1,3,5,0,0,1,1,1,0,april-2014,2014-04-01,NA,NA
FINLAND,Europe,Northern Europe,699,322,377,63,301,53,7,0,16,96,66,20,7,70,1,2,0,4,119,13,9,4,0,50,12,0,14,4,1,15,1,13,3,7,35,11,2,19,22,11,0,3,0,26,1,1,9,8,8,5,95,11,9,6,32,1,7,14,0,7,19,16,28,0,4,7,8,2,0,april-2014,2014-04-01,NA,NA
FRANCE,Europe,Western Europe,9028,4826,4195,705,2688,882,50,3,1319,2029,884,155,53,260,3,49,28,68,1976,61,68,104,23,692,195,0,63,43,11,328,56,46,52,57,749,77,20,80,72,161,0,35,15,471,4,10,30,155,24,21,1864,82,46,44,262,18,37,119,6,38,307,44,106,1,16,102,53,28,8,april-2014,2014-04-01,NA,NA
FRENCH GUIANA,South America,South America,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
FRENCH POLYNESIA,Australia & Pacific Islands,Polynesia,16,8,8,4,10,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
GABON,Africa,Central Africa,532,275,257,186,201,12,1,0,75,40,8,0,3,6,0,0,8,1,27,6,1,38,1,7,28,0,0,2,0,9,3,0,1,4,18,38,0,3,9,9,0,1,1,4,0,6,0,5,0,1,46,2,41,8,12,0,1,1,0,4,175,0,9,0,0,1,0,0,1,april-2014,2014-04-01,NA,NA
"GAMBIA, THE",Africa,Western Africa,468,265,203,226,191,10,0,0,4,29,3,0,0,5,1,1,5,0,4,3,3,1,2,18,15,0,0,18,0,5,1,18,3,4,6,14,0,11,36,21,0,10,0,10,1,17,1,2,0,0,32,11,24,2,5,0,3,0,0,5,122,0,9,0,0,14,7,2,1,april-2014,2014-04-01,NA,NA
GAZA STRIP,Asia,Western Asia,109,90,19,19,36,17,0,0,18,15,3,0,0,1,0,0,1,3,12,3,1,2,0,5,2,0,0,0,0,7,3,3,0,1,4,0,0,4,4,2,0,1,0,3,1,0,2,2,0,0,6,0,0,6,8,0,0,3,1,0,5,4,7,0,1,2,0,0,0,april-2014,2014-04-01,NA,NA
GEORGIA,Asia,Western Asia,485,273,212,32,252,61,0,0,31,76,21,2,0,10,0,1,1,3,24,6,13,7,0,14,22,0,1,3,2,12,10,6,5,4,67,10,5,11,6,17,0,2,2,3,0,2,0,6,1,0,121,15,1,0,29,0,0,5,0,3,21,3,15,0,1,1,1,3,0,april-2014,2014-04-01,NA,NA
GERMANY,Europe,Western Europe,8910,4716,4194,524,2799,1286,158,5,499,1370,1160,147,30,931,23,97,32,145,2038,119,187,107,18,742,195,0,131,66,27,247,96,55,53,51,651,124,30,146,98,156,0,50,24,204,12,37,42,155,31,21,1071,128,47,101,271,7,57,119,18,103,250,55,149,0,33,97,149,31,14,april-2014,2014-04-01,NA,NA
GHANA,Africa,Western Africa,3217,1975,1242,177,1240,619,4,0,7,1011,70,2,8,79,2,51,35,13,141,16,51,35,26,122,71,0,0,53,33,144,87,28,35,17,199,80,5,129,108,131,0,35,3,82,38,17,29,55,27,11,221,235,59,10,179,1,22,27,46,79,149,45,108,0,6,18,58,30,15,april-2014,2014-04-01,NA,NA
GIBRALTAR,Europe,Southern Europe,4,4,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
GREECE,Europe,Southern Europe,2110,1293,817,94,604,733,4,1,26,541,79,6,5,17,0,13,4,9,251,10,49,37,12,64,42,0,1,21,3,107,34,4,8,14,353,50,3,53,27,18,0,3,1,33,0,6,13,63,5,5,460,32,1,6,116,0,26,9,1,10,75,0,29,0,7,9,11,1,1,april-2014,2014-04-01,NA,NA
GREENLAND,North America,Northern America,3,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,april-2014,2014-04-01,NA,NA
GRENADA,North America,Caribbean,271,104,167,36,139,19,5,0,0,64,3,2,1,2,0,2,2,0,2,0,0,10,0,23,5,0,0,0,0,12,3,9,0,2,5,1,0,1,0,2,0,1,0,3,1,0,2,4,1,0,66,1,12,0,2,0,1,4,0,3,85,1,2,1,0,0,2,0,0,april-2014,2014-04-01,NA,NA
GUADELOUPE,North America,Caribbean,15,9,5,3,5,0,2,0,1,0,0,0,0,4,0,0,0,2,2,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
GUATEMALA,North America,Central America,1198,642,556,137,657,83,7,2,65,136,41,12,9,49,1,4,39,8,102,18,8,9,2,148,42,0,0,8,10,29,27,6,10,33,105,17,6,26,13,17,0,2,0,27,3,2,1,17,4,1,68,15,13,8,49,16,10,8,1,24,145,35,36,0,4,8,7,4,2,april-2014,2014-04-01,NA,NA
GUERNSEY,Europe,Northern Europe,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
GUINEA,Africa,Western Africa,99,60,39,14,45,1,0,0,22,11,2,0,0,4,0,1,3,1,7,0,1,2,2,1,4,0,0,0,0,0,1,1,0,1,5,7,0,3,5,1,0,0,0,5,0,0,0,1,0,0,18,2,2,4,3,0,2,0,0,2,6,0,8,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
GUINEA-BISSAU,Africa,Western Africa,15,10,5,3,7,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,1,0,1,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,april-2014,2014-04-01,NA,NA
GUYANA,South America,South America,242,100,142,57,99,39,6,0,0,34,4,0,0,3,0,2,1,2,6,0,4,7,1,38,3,0,0,0,1,2,2,1,0,2,6,8,0,4,4,3,0,4,0,2,2,0,0,3,0,0,95,11,1,0,6,0,1,2,0,3,7,1,2,2,0,1,0,2,0,april-2014,2014-04-01,NA,NA
HAITI,North America,Caribbean,814,496,318,218,380,23,2,0,44,60,14,6,19,48,0,3,1,4,4,2,7,1,2,186,25,1,0,17,3,20,17,7,15,7,50,7,10,12,12,14,0,3,4,32,2,5,2,27,1,0,113,14,6,3,14,30,5,9,0,7,27,18,37,0,8,3,13,1,3,april-2014,2014-04-01,NA,NA
HONDURAS,North America,Central America,1801,886,915,271,1012,93,2,0,108,218,44,1,11,41,0,12,46,4,62,13,13,24,2,300,108,0,1,10,9,61,23,12,9,143,85,10,2,24,23,61,0,13,2,25,4,4,4,34,7,2,75,30,16,6,77,13,12,14,7,22,280,29,42,0,5,7,10,2,2,april-2014,2014-04-01,NA,NA
HONG KONG,Asia,Eastern Asia,8146,4463,3682,2095,3849,483,17,2,145,591,385,15,22,542,0,8,21,72,2877,22,60,28,4,116,89,3,66,40,38,220,150,39,19,16,505,82,26,161,109,53,0,5,6,43,0,11,26,74,5,49,630,88,8,106,267,0,24,36,13,28,186,146,64,0,13,1423,56,5,10,april-2014,2014-04-01,NA,NA
HUNGARY,Europe,Eastern Europe,796,406,390,65,285,140,4,0,64,134,40,7,5,52,1,3,5,12,106,8,7,10,1,82,11,1,2,11,3,27,14,6,6,5,45,11,3,13,6,24,0,2,1,16,0,7,5,22,4,9,149,20,10,4,28,0,5,6,0,10,34,4,9,0,2,8,16,0,2,april-2014,2014-04-01,NA,NA
ICELAND,Europe,Northern Europe,384,194,190,37,176,47,3,0,3,87,18,6,1,6,0,18,3,4,71,6,2,1,0,54,14,0,2,3,0,3,4,0,2,5,36,2,0,8,6,3,0,3,0,15,0,0,0,4,1,0,57,1,3,1,4,0,2,11,1,5,9,2,5,0,1,7,4,1,0,april-2014,2014-04-01,NA,NA
INDIA,Asia,Southern Asia,113813,75825,37943,1495,12311,17083,255,7,842,79848,1648,125,18,178,49,913,467,2529,15327,990,1660,654,1282,3689,2289,1,29,754,115,7002,3306,1078,1003,1033,5629,1528,56,3564,1231,3495,0,631,65,2752,372,466,444,3100,294,134,12705,4648,1210,469,5199,19,335,770,194,644,14044,569,3144,3,43,659,880,289,58,april-2014,2014-04-01,NA,NA
INDONESIA,Asia,South-Eastern Asia,8005,4289,3714,1792,3810,361,92,7,172,963,671,25,9,103,3,4,12,35,2933,69,27,32,8,251,112,1,15,62,12,280,213,46,29,34,477,53,0,172,84,35,1,19,5,41,5,21,14,27,10,10,446,124,65,166,143,0,23,10,5,34,302,21,57,0,4,1370,70,11,2,april-2014,2014-04-01,NA,NA
IRAN,Asia,Southern Asia,10096,6353,3739,217,460,6353,12,0,131,2642,244,3,2,32,3,92,53,193,1429,144,112,101,38,497,217,0,29,114,26,494,177,106,109,157,573,203,17,377,98,151,0,74,10,264,52,77,43,164,134,83,601,347,151,160,399,2,37,98,16,109,930,131,294,0,8,144,165,64,29,april-2014,2014-04-01,NA,NA
IRAQ,Asia,Western Asia,652,504,148,41,112,162,3,0,140,150,35,3,1,5,0,4,42,9,64,7,13,8,0,22,10,0,1,6,0,40,40,9,9,1,18,7,2,54,8,29,0,4,1,10,0,5,9,4,1,1,25,26,19,19,22,0,1,1,2,5,55,3,20,0,3,7,1,4,1,april-2014,2014-04-01,NA,NA
IRELAND,Europe,Northern Europe,1058,649,409,109,439,152,10,1,0,214,83,22,5,23,2,13,7,11,104,4,30,16,2,53,36,1,2,13,1,38,39,11,12,9,86,10,4,23,6,28,0,8,10,32,5,4,3,16,2,2,174,12,20,2,50,0,16,20,0,31,47,2,15,0,4,7,8,6,1,april-2014,2014-04-01,NA,NA
ISLE OF MAN,Europe,Northern Europe,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
ISRAEL,Asia,Western Asia,2483,1625,857,177,1013,408,7,1,136,526,156,21,3,35,1,3,4,20,334,17,31,19,2,125,24,0,4,7,1,100,25,7,8,8,207,35,3,32,7,14,0,2,1,39,0,5,7,83,8,13,998,33,9,16,80,0,10,4,3,5,59,10,29,0,2,8,18,2,1,april-2014,2014-04-01,NA,NA
ITALY,Europe,Southern Europe,5420,3208,2211,368,1256,1043,97,1,889,850,498,87,24,307,1,7,7,45,1082,42,81,87,10,604,79,2,28,18,5,193,58,19,5,11,529,57,23,69,33,49,0,6,3,66,4,11,18,119,9,10,1310,47,7,23,155,10,37,29,1,19,175,47,58,0,9,49,33,18,3,april-2014,2014-04-01,NA,NA
JAMAICA,North America,Caribbean,2997,1172,1825,494,1514,285,8,2,4,565,43,7,9,66,0,49,21,16,80,12,75,78,16,498,92,0,0,27,7,45,32,26,24,57,122,99,14,71,29,85,0,14,4,96,16,23,14,90,21,0,535,61,29,6,105,7,8,33,2,72,177,10,53,7,0,9,16,13,1,april-2014,2014-04-01,NA,NA
JAPAN,Asia,Eastern Asia,26185,11574,14603,4195,6061,1141,141,19,8142,2631,2389,194,73,1199,16,76,168,319,8461,180,179,171,17,476,159,22,1531,171,53,470,220,180,165,31,1433,128,34,235,226,326,10,26,76,159,74,161,86,133,29,193,4366,293,142,739,528,0,54,81,25,135,438,277,164,0,65,2178,208,76,22,april-2014,2014-04-01,NA,NA
JERSEY,Europe,Northern Europe,4,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
JORDAN,Asia,Western Asia,2543,2001,541,278,575,680,10,0,363,577,49,3,0,8,0,36,32,32,337,21,45,33,7,132,21,0,1,49,3,195,59,35,33,30,113,35,3,133,21,32,0,22,0,53,12,7,17,37,40,1,165,136,20,13,82,0,6,17,13,28,213,41,105,1,4,24,34,13,1,april-2014,2014-04-01,NA,NA
KAZAKHSTAN,Asia,Central Asia,2346,1175,1170,454,655,68,22,1,624,261,122,6,5,128,1,2,30,23,427,52,10,25,12,102,23,0,4,6,4,81,19,3,3,10,279,24,9,23,17,15,0,8,1,17,2,1,9,11,6,4,409,15,21,20,80,0,9,3,1,4,348,7,67,0,8,50,17,14,10,april-2014,2014-04-01,NA,NA
KENYA,Africa,Eastern Africa,3806,1894,1911,640,1690,454,19,0,15,866,84,3,1,34,14,59,27,25,190,20,50,51,41,138,107,0,2,78,12,110,87,134,70,56,257,117,11,146,132,157,0,39,3,77,10,37,17,65,20,4,205,128,106,26,182,8,19,39,14,81,404,19,88,0,12,37,44,16,15,april-2014,2014-04-01,NA,NA
KIRIBATI,Australia & Pacific Islands,Micronesia,8,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,april-2014,2014-04-01,NA,NA
KOSOVO,Europe,Southern Europe,187,114,73,30,77,12,0,0,37,20,2,0,0,9,0,0,1,2,15,1,2,2,0,5,25,0,0,9,1,8,1,0,2,0,10,1,1,3,7,4,0,0,0,3,0,1,0,0,1,1,34,2,5,0,10,0,1,0,0,1,17,0,2,0,1,2,4,2,0,april-2014,2014-04-01,NA,NA
KUWAIT,Asia,Western Asia,7892,6745,1145,343,4618,246,12,0,2270,298,94,0,1,10,0,38,15,784,1713,366,47,55,30,703,24,0,1,24,443,52,87,122,32,8,176,38,0,65,16,114,0,3,38,70,0,28,1,19,124,1,106,567,59,351,415,0,10,14,2,389,267,61,173,0,0,46,34,140,21,april-2014,2014-04-01,NA,NA
KYRGYZSTAN,Asia,Central Asia,466,264,202,52,96,22,0,0,181,71,33,2,1,8,0,6,0,2,29,3,1,2,3,10,4,0,2,1,1,195,5,2,4,2,25,4,0,3,7,13,0,1,5,5,0,8,1,2,2,0,40,4,2,3,9,0,1,0,0,1,28,2,25,0,1,1,0,1,0,april-2014,2014-04-01,NA,NA
LAOS,Asia,South-Eastern Asia,62,36,26,16,7,2,0,0,18,2,2,0,1,14,0,0,2,1,14,0,2,1,1,8,1,0,0,2,0,3,0,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,3,3,2,0,1,1,0,1,0,0,1,1,1,2,0,0,4,0,0,0,april-2014,2014-04-01,NA,NA
LATVIA,Europe,Northern Europe,368,165,202,46,181,32,1,0,18,44,16,5,1,24,0,5,2,3,40,4,9,2,1,29,11,0,3,9,3,24,8,6,9,3,14,5,2,7,7,10,0,2,0,4,2,6,0,10,2,1,38,4,6,1,14,0,3,3,0,12,23,3,7,0,1,3,5,2,0,april-2014,2014-04-01,NA,NA
LEBANON,Asia,Western Asia,1299,906,393,139,315,352,7,0,26,402,44,6,0,8,0,6,4,11,159,16,12,31,3,73,15,0,2,8,2,40,32,9,7,13,141,24,1,103,10,16,0,4,1,26,3,2,3,14,6,2,162,42,18,10,51,0,3,10,2,9,121,3,44,0,1,13,10,1,0,april-2014,2014-04-01,NA,NA
LESOTHO,Africa,Southern Africa,40,22,18,3,28,3,0,0,0,5,1,0,0,0,0,0,0,0,3,1,0,1,0,3,0,0,0,1,2,1,2,0,2,1,4,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,1,0,6,0,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0,april-2014,2014-04-01,NA,NA
LIBERIA,Africa,Western Africa,225,147,78,39,68,5,0,0,2,76,1,0,6,28,0,0,1,0,9,2,1,2,4,2,20,0,1,5,0,6,5,1,7,2,6,13,0,9,14,5,0,2,0,9,2,1,2,15,0,0,9,5,1,1,22,0,2,3,0,4,9,2,10,0,3,1,3,4,0,april-2014,2014-04-01,NA,NA
LIBYA,Africa,Northern Africa,1977,1522,455,86,128,546,0,3,646,475,80,11,1,1,0,9,10,10,164,284,66,21,6,156,20,0,1,4,9,114,19,10,12,13,79,8,0,97,10,84,0,8,0,22,1,1,4,16,7,0,87,181,22,52,64,0,4,24,5,14,92,1,23,0,1,107,5,25,5,april-2014,2014-04-01,NA,NA
LIECHTENSTEIN,Europe,Western Europe,9,3,6,1,4,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,april-2014,2014-04-01,NA,NA
LITHUANIA,Europe,Northern Europe,423,215,208,42,167,25,0,0,28,51,24,3,1,82,0,3,1,4,47,10,5,3,1,37,8,0,3,2,0,53,3,5,6,1,19,8,6,9,5,7,0,1,0,16,0,6,3,12,0,0,42,6,5,1,9,0,2,5,0,15,20,1,18,0,2,5,5,3,0,april-2014,2014-04-01,NA,NA
LUXEMBOURG,Europe,Western Europe,103,64,39,5,48,7,1,0,6,20,10,2,0,4,0,0,0,1,27,0,1,1,0,6,1,0,1,1,1,6,0,0,0,0,9,0,0,1,2,1,0,0,0,0,0,0,0,2,2,0,15,12,0,1,4,0,0,0,0,1,3,1,0,0,0,2,1,0,0,april-2014,2014-04-01,NA,NA
MACAU,Asia,Eastern Asia,547,313,234,143,236,27,3,0,10,41,54,0,0,33,0,0,0,9,226,3,1,3,0,9,3,0,7,0,1,6,5,0,0,0,35,0,0,11,5,1,0,1,1,1,0,1,2,1,0,14,31,12,3,6,17,0,0,0,0,1,21,9,4,0,1,91,4,1,0,april-2014,2014-04-01,NA,NA
MACEDONIA,Europe,Southern Europe,315,167,148,48,116,34,1,2,39,49,8,3,1,14,0,1,3,2,23,4,3,4,2,23,3,0,1,1,0,27,9,6,0,4,21,4,1,14,5,13,0,2,0,8,1,1,1,15,2,2,40,7,8,1,12,0,2,2,0,5,12,0,9,0,3,2,2,4,0,april-2014,2014-04-01,NA,NA
MADAGASCAR,Africa,Eastern Africa,148,66,81,22,53,15,9,0,6,35,6,1,0,1,0,1,3,0,4,0,0,4,0,14,2,0,0,1,1,1,2,3,0,0,6,3,0,6,10,8,0,0,0,5,0,0,0,0,4,0,9,3,2,1,2,0,0,0,0,17,19,5,9,0,0,2,1,0,0,april-2014,2014-04-01,NA,NA
MALAWI,Africa,Eastern Africa,248,133,115,43,91,30,0,0,5,66,6,0,1,6,0,10,0,0,13,3,3,4,1,8,4,0,1,5,0,11,11,4,3,1,16,0,4,24,7,10,0,2,0,5,2,6,2,1,2,0,15,6,15,1,11,0,0,0,2,2,23,3,2,0,1,1,1,2,0,april-2014,2014-04-01,NA,NA
MALAYSIA,Asia,South-Eastern Asia,6947,3703,3240,301,5055,568,9,1,39,692,148,20,19,95,0,20,23,71,919,93,41,16,2,98,73,0,24,592,17,305,300,132,22,37,309,57,10,354,284,74,0,24,30,55,23,213,23,107,7,7,612,267,167,55,447,0,41,15,7,186,256,28,66,0,7,140,243,39,9,april-2014,2014-04-01,NA,NA
MALDIVES,Asia,Southern Asia,63,48,15,1,23,3,28,0,0,5,0,2,0,1,0,0,0,0,1,1,2,0,0,26,0,0,0,2,1,2,1,0,0,0,3,0,1,1,2,2,0,0,0,0,0,0,0,0,1,1,4,0,2,0,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,april-2014,2014-04-01,NA,NA
MALI,Africa,Western Africa,637,432,204,170,209,14,0,0,135,82,8,0,0,19,0,3,2,1,4,10,1,18,35,20,21,0,0,2,1,6,2,4,6,9,22,68,0,14,11,8,0,0,0,12,0,2,2,29,1,1,110,6,15,5,35,0,3,1,0,17,77,26,15,0,0,6,2,4,0,april-2014,2014-04-01,NA,NA
MALTA,Europe,Southern Europe,17,12,5,2,8,1,2,0,0,3,1,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
"MARSHAhL
  ISLANDS",Australia & Pacific Islands,Micronesia,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
MARTINIQUE,North America,Caribbean,6,4,2,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
MAURITANIA,Africa,Western Africa,89,71,18,22,27,1,0,0,30,7,2,0,0,0,0,0,0,6,1,6,0,5,0,4,8,0,0,1,0,2,1,0,2,1,4,6,0,0,1,1,0,1,1,0,0,0,0,0,0,0,12,9,0,0,1,0,0,2,1,0,4,0,6,0,1,1,1,0,0,april-2014,2014-04-01,NA,NA
MAURITIUS,Africa,Eastern Africa,205,101,104,16,112,33,3,0,0,31,6,0,0,4,0,1,0,0,17,1,5,2,2,21,3,0,0,4,1,5,5,3,1,2,19,5,2,5,7,2,0,2,0,2,0,1,1,3,2,0,32,5,3,5,11,0,1,0,0,1,9,3,1,0,1,6,1,1,1,april-2014,2014-04-01,NA,NA
MAYOTTE,Africa,Eastern Africa,3,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
MEXICO,North America,Central America,17540,9702,7838,1813,5732,1352,115,10,1062,2564,698,144,1598,2452,2,32,56,586,2162,160,162,131,21,682,163,6,14,74,78,403,206,73,25,71,907,96,12,248,102,183,0,22,10,138,10,49,57,118,437,26,1155,117,120,91,316,41,148,52,6,76,7024,346,103,2,32,133,228,20,8,april-2014,2014-04-01,NA,NA
"MICRONESIh,
  FEDERATED STATES OF",Australia & Pacific Islands,Micronesia,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
MOLDOVA,Europe,Eastern Europe,452,178,274,105,138,50,0,0,70,66,13,1,0,9,0,4,0,2,41,6,3,6,0,17,13,0,0,5,1,37,4,3,1,7,24,8,0,4,30,6,0,6,1,20,0,4,0,9,0,2,57,14,3,3,17,0,0,11,1,6,28,8,22,0,0,15,1,1,1,april-2014,2014-04-01,NA,NA
MONACO,Europe,Western Europe,13,8,5,0,10,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
MONGOLIA,Asia,Eastern Asia,2625,1083,1542,433,870,63,20,0,443,657,94,6,1,38,18,7,14,4,700,106,18,60,4,28,9,0,5,56,9,347,16,22,22,4,90,19,3,12,45,153,0,0,4,7,33,18,6,9,0,4,77,11,10,11,33,0,5,10,13,2,40,69,362,0,1,109,15,3,2,april-2014,2014-04-01,NA,NA
MONTENEGRO,Europe,Southern Europe,149,81,68,23,65,14,0,0,8,22,3,1,0,13,0,2,2,3,11,0,3,0,1,13,5,0,0,0,0,7,1,2,1,1,12,3,3,3,4,1,0,1,0,3,0,1,2,1,0,0,34,0,2,0,8,0,2,3,1,2,3,0,3,0,1,4,0,0,0,april-2014,2014-04-01,NA,NA
MONTSERRAT,North America,Caribbean,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
MOROCCO,Africa,Northern Africa,1642,1003,639,399,563,72,0,0,232,290,63,5,0,18,0,12,14,6,201,19,15,27,5,182,15,0,1,9,1,73,24,9,8,4,163,16,0,14,14,17,0,1,3,44,0,5,22,31,4,5,201,22,19,4,71,0,53,9,3,5,125,7,118,0,4,15,8,10,4,april-2014,2014-04-01,NA,NA
MOZAMBIQUE,Africa,Eastern Africa,82,43,39,8,47,8,0,0,0,17,1,1,0,0,0,0,0,0,5,1,2,2,0,7,3,0,0,0,2,3,9,1,0,0,6,1,0,2,1,1,0,0,0,1,0,0,1,1,0,0,12,1,1,0,6,0,1,0,0,0,5,1,2,0,0,1,1,1,1,april-2014,2014-04-01,NA,NA
NAMIBIA,Africa,Southern Africa,67,22,45,11,38,5,1,0,0,6,3,1,0,2,0,2,0,1,6,1,2,1,0,3,0,0,0,5,1,0,0,1,0,0,5,0,0,5,5,5,0,0,0,1,0,0,1,4,0,0,3,0,2,1,2,0,0,1,0,0,5,2,1,0,0,0,1,0,0,april-2014,2014-04-01,NA,NA
