country_of_citizenship,continent,region,number_of_active_students,male,female,associate,bachelors,doctorate,flight_training,high_school,language_training,masters,other,other_vocational_school,primary,secondary,ak,al,ar,az,ca,co,ct,dc,de,fl,ga,gu,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,mp,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vi,vt,wa,wi,wv,wy,month_year,date,active_students,flight_school
CYPRUS,Asia,Western Asia,408,248,160,22,173,103,1,0,8,77,19,5,0,0,0,4,0,5,44,2,6,4,0,15,8,0,1,2,0,13,10,4,7,5,44,5,0,5,6,1,0,0,1,5,0,0,1,14,1,1,136,8,0,5,16,0,4,2,0,2,14,0,3,0,1,0,3,0,0,april-2014,2014-04-01,NA,NA
CZECH REPUBLIC,Europe,Eastern Europe,866,387,479,110,350,80,0,0,83,110,45,3,6,79,2,4,4,6,106,10,19,17,1,99,13,0,7,6,4,39,6,14,10,10,52,12,12,20,13,11,0,0,2,14,3,4,11,22,3,3,117,9,12,5,37,0,2,16,1,8,31,8,15,0,9,12,21,3,1,april-2014,2014-04-01,NA,NA
DENMARK,Europe,Northern Europe,1100,553,547,105,358,54,10,2,74,163,251,25,4,54,3,4,11,7,335,21,18,5,1,80,16,0,19,11,4,19,10,5,9,9,65,2,7,16,4,29,0,2,2,15,3,2,3,16,4,2,172,12,20,7,22,0,4,3,1,8,24,6,11,0,4,31,9,2,5,april-2014,2014-04-01,NA,NA
DJIBOUTI,Africa,Eastern Africa,8,4,4,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,april-2014,2014-04-01,NA,NA
DOMINICA,North America,Caribbean,328,95,233,35,207,19,1,0,0,51,7,0,2,6,0,1,5,0,3,0,3,1,0,31,2,0,0,5,0,1,1,1,0,53,5,7,1,1,3,2,0,1,0,4,0,1,0,4,1,0,66,3,7,1,5,0,1,2,0,3,81,0,5,16,0,1,0,0,0,april-2014,2014-04-01,NA,NA
"DOMINIChN
  REPUBLIC",North America,Caribbean,1295,726,569,179,655,47,0,1,83,184,59,17,4,66,1,15,4,4,33,4,17,33,2,237,41,0,1,12,4,24,10,9,9,14,151,11,2,19,8,20,0,7,0,11,1,6,0,25,1,2,246,16,14,1,49,109,23,9,0,14,43,15,9,0,0,2,7,0,0,april-2014,2014-04-01,NA,NA
ECUADOR,South America,South America,2773,1567,1206,182,1325,211,93,3,299,411,170,16,1,62,0,12,13,25,212,23,21,51,4,451,89,0,8,37,7,131,128,16,20,73,188,31,2,23,54,69,0,17,6,50,1,13,9,95,15,6,285,29,21,11,115,9,21,13,9,19,160,46,66,0,7,33,21,6,2,april-2014,2014-04-01,NA,NA
EGYPT,Africa,Northern Africa,2778,2160,618,195,797,754,119,4,184,513,120,19,5,68,0,32,12,30,377,14,42,41,9,211,53,0,1,78,9,86,73,23,34,43,189,47,7,74,57,37,0,20,1,43,7,13,4,58,13,9,332,108,23,17,111,0,5,11,8,16,192,16,103,0,5,29,36,9,10,april-2014,2014-04-01,NA,NA
EL SALVADOR,North America,Central America,946,511,435,106,517,47,5,0,50,100,97,4,1,19,1,7,29,5,106,7,1,24,0,59,36,0,1,7,8,30,24,2,7,46,42,16,1,10,13,13,0,2,0,22,0,1,0,17,3,1,57,8,9,8,42,13,12,18,1,9,154,16,46,0,3,3,3,3,0,april-2014,2014-04-01,NA,NA
"EQUATORIhL
  GUINEA",Africa,Central Africa,455,223,232,181,94,1,1,0,161,5,1,0,4,7,0,9,1,1,8,0,0,12,4,3,30,0,0,0,0,4,0,1,0,4,3,2,0,67,0,6,0,0,0,2,0,0,0,0,8,0,12,0,2,1,10,13,0,9,0,2,201,1,12,0,0,27,0,0,0,april-2014,2014-04-01,NA,NA
ERITREA,Africa,Eastern Africa,101,71,30,16,14,33,2,0,3,27,4,0,0,2,0,3,2,1,13,3,3,2,0,9,2,0,0,6,0,4,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,2,3,0,1,0,3,11,2,2,2,0,0,1,0,3,10,2,1,0,1,1,1,0,1,april-2014,2014-04-01,NA,NA
ESTONIA,Europe,Northern Europe,204,88,116,21,91,19,1,0,9,39,10,6,1,7,0,4,1,0,25,2,4,3,1,19,11,0,0,1,0,7,2,3,2,6,16,4,2,5,2,2,0,3,1,0,0,1,1,4,4,0,30,5,3,2,3,0,3,0,1,2,5,1,5,0,1,4,1,2,0,april-2014,2014-04-01,NA,NA
ETHIOPIA,Africa,Eastern Africa,1750,1005,744,160,816,297,2,0,21,284,37,3,11,119,1,20,10,9,89,24,20,30,2,52,34,0,0,118,9,49,40,21,47,13,94,39,4,38,122,32,0,89,3,44,8,14,20,18,13,4,119,47,56,13,50,0,5,22,30,24,95,8,78,0,9,30,13,14,7,april-2014,2014-04-01,NA,NA
